Index,TrainVideoCount,KnowledgeGraphId,Name,Section,WikiUrl
0,788288,/m/03bt1gh,Game,Games,https://en.wikipedia.org/wiki/Game
1,539945,/m/01mw1,Video game,Games,https://en.wikipedia.org/wiki/Video_game
2,415890,/m/07yv9,Vehicle,Vehicles,https://en.wikipedia.org/wiki/Vehicle
3,378135,/m/01jddz,Concert,Music,https://en.wikipedia.org/wiki/Concert
4,286532,/m/09jwl,Musician,Music,https://en.wikipedia.org/wiki/Musician
5,236948,/m/0215n,Cartoon,TV,https://en.wikipedia.org/wiki/Cartoon
6,203343,/m/01350r,Performance art,,https://en.wikipedia.org/wiki/Performance_art
7,200813,/m/0k4j,Car,Vehicles,https://en.wikipedia.org/wiki/Car
8,181579,/m/026bk,Dance,Dance,https://en.wikipedia.org/wiki/Dance
9,156226,/m/0342h,Guitar,,https://en.wikipedia.org/wiki/Guitar
10,144667,/m/0d8lm,String instrument,,https://en.wikipedia.org/wiki/String_instrument
11,135357,/m/02wbm,Food,Food,https://en.wikipedia.org/wiki/Food
12,130835,/m/02vx4,Association football,,https://en.wikipedia.org/wiki/Association_football
13,125668,/m/05229,Musical ensemble,Music,https://en.wikipedia.org/wiki/Musical_ensemble
14,116098,/m/0mdxd,Music video,Music,https://en.wikipedia.org/wiki/Music_video
15,107788,/m/0jbk,Animal,Animals,https://en.wikipedia.org/wiki/Animal
16,98140,/m/0hcr,Animation,,https://en.wikipedia.org/wiki/Animation
17,93443,/m/0410tth,Motorsport,,https://en.wikipedia.org/wiki/Motorsport
18,90779,/m/068hy,Pet,,https://en.wikipedia.org/wiki/Pet
19,84258,/m/0dfbw,Racing,,https://en.wikipedia.org/wiki/Racing
20,75819,/m/0p57p,Recipe,,https://en.wikipedia.org/wiki/Recipe
21,72911,/m/050k8,Mobile phone,,https://en.wikipedia.org/wiki/Mobile_phone
22,71218,/m/01mtb,Cooking,,https://en.wikipedia.org/wiki/Cooking
23,64884,/m/0169zh,Smartphone,,https://en.wikipedia.org/wiki/Smartphone
24,64452,/m/02mf1n,Gadget,,https://en.wikipedia.org/wiki/Gadget
25,59695,/m/03hdbf,Trailer (promotion),,https://en.wikipedia.org/wiki/Trailer_(promotion)
26,58720,/m/0138tl,Toy,,https://en.wikipedia.org/wiki/Toy
27,57801,/m/09v6kpg,Minecraft,,https://en.wikipedia.org/wiki/Minecraft
28,55597,/m/02hnl,Drum kit,Music,https://en.wikipedia.org/wiki/Drum_kit
29,55411,/m/01ykh,Cuisine,,https://en.wikipedia.org/wiki/Cuisine
31,55201,/m/05r5c,Piano,,https://en.wikipedia.org/wiki/Piano
30,54950,/m/04_sv,Motorcycle,,https://en.wikipedia.org/wiki/Motorcycle
32,54730,/m/02q08p0,Dish (food),Food,https://en.wikipedia.org/wiki/Dish_(food)
33,54195,/m/026t6,Drum,Music,https://en.wikipedia.org/wiki/Drum
34,51712,/m/042v_gx,Acoustic guitar,,https://en.wikipedia.org/wiki/Acoustic_guitar
35,51597,/m/02ntfj,Action-adventure game,Games,https://en.wikipedia.org/wiki/Action-adventure_game
36,49465,/m/026wy8d,Call of Duty,,https://en.wikipedia.org/wiki/Call_of_Duty
37,47982,/m/02sgy,Electric guitar,,https://en.wikipedia.org/wiki/Electric_guitar
38,45885,/m/09lbv,Drummer,Music,https://en.wikipedia.org/wiki/Drummer
39,43039,/m/014trl,Cosmetics,,https://en.wikipedia.org/wiki/Cosmetics
40,41496,/m/05148p4,Keyboard instrument,,https://en.wikipedia.org/wiki/Keyboard_instrument
41,38652,/m/0l14jd,Choir,,https://en.wikipedia.org/wiki/Choir
42,36451,/m/03hf_rm,Strategy video game,Games,https://en.wikipedia.org/wiki/Strategy_video_game
43,36051,/m/094jc,Fishing,,https://en.wikipedia.org/wiki/Fishing
44,35779,/m/0k5j,Aircraft,,https://en.wikipedia.org/wiki/Aircraft
45,35331,/m/07jdr,Train,,https://en.wikipedia.org/wiki/Train
46,35170,/m/05czz6l,Airplane,,https://en.wikipedia.org/wiki/Airplane
47,34650,/m/05vyk,Pianist,,https://en.wikipedia.org/wiki/Pianist
48,34448,/m/012mq4,Sports car,Vehicles,https://en.wikipedia.org/wiki/Sports_car
49,33328,/m/0jjw,Art,,https://en.wikipedia.org/wiki/Art
50,33321,/m/03q69,Hair,,https://en.wikipedia.org/wiki/Hair
51,31796,/m/06d_3,Rail transport,,https://en.wikipedia.org/wiki/Rail_transport
53,31060,/m/01sgl,Cycling,,https://en.wikipedia.org/wiki/Cycling
54,31046,/m/05pd6,Orchestra,,https://en.wikipedia.org/wiki/Orchestra
52,31017,/m/018w8,Basketball,,https://en.wikipedia.org/wiki/Basketball
56,30191,/m/07bsy,Transport,,https://en.wikipedia.org/wiki/Transport
57,30169,/m/057cc,Musical keyboard,Music,https://en.wikipedia.org/wiki/Musical_keyboard
55,30111,/m/025sn53,Motorcycling,,https://en.wikipedia.org/wiki/Motorcycling
58,29728,/m/0199g,Bicycle,,https://en.wikipedia.org/wiki/Bicycle
59,29371,/m/0ch_cf,Fish,,https://en.wikipedia.org/wiki/Fish
60,28879,/m/05b0n7k,Outdoor recreation,,https://en.wikipedia.org/wiki/Outdoor_recreation
62,28568,/m/0dkw5,Machine,,https://en.wikipedia.org/wiki/Machine
61,28529,/m/02dsz,Disc jockey,,https://en.wikipedia.org/wiki/Disc_jockey
63,27764,/m/022dc6,Sports game,Games,https://en.wikipedia.org/wiki/Sports_game
64,27098,/m/0plc2,Radio-controlled model,,https://en.wikipedia.org/wiki/Radio-controlled_model
